"feature","feature_type","code","description"
"icd9_CARDIOMYOPATHY..ATRIAL.FIBRILLATION.LEFT.AND.RIGHT.HEART.CATHETERIZATION","icd9","CARDIOMYOPATHY..ATRIAL.FIBRILLATION.LEFT.AND.RIGHT.HEART.CATHETERIZATION","CARDIOMYOPATHY..ATRIAL.FIBRILLATION.LEFT.AND.RIGHT.HEART.CATHETERIZATION"
"icd9_CARDIOMYOPATHY.CORONARY.ARTERY.DISEASE.RIGHT.AND.LEFT.CATH","icd9","CARDIOMYOPATHY.CORONARY.ARTERY.DISEASE.RIGHT.AND.LEFT.CATH","CARDIOMYOPATHY.CORONARY.ARTERY.DISEASE.RIGHT.AND.LEFT.CATH"
"icd9_CAROTID.ARTERY.STENOSIS.CAROTID.ANGIOGRAM","icd9","CAROTID.ARTERY.STENOSIS.CAROTID.ANGIOGRAM","CAROTID.ARTERY.STENOSIS.CAROTID.ANGIOGRAM"
"icd9_CAROTID.STENOSIS.RIGHT.SDA","icd9","CAROTID.STENOSIS.RIGHT.SDA","CAROTID.STENOSIS.RIGHT.SDA"
"icd9_CAROTID.STENOSIS..LEFT.SDA","icd9","CAROTID.STENOSIS..LEFT.SDA","CAROTID.STENOSIS..LEFT.SDA"
"icd9_CAROTID.STENOSIS.SDA","icd9","CAROTID.STENOSIS.SDA","CAROTID.STENOSIS.SDA"
"icd9_CELLULITIS","icd9","CELLULITIS","CELLULITIS"
"icd9_CELLULITIS.A.FIB","icd9","CELLULITIS.A.FIB","CELLULITIS.A.FIB"
"icd9_CELLULITIS.MENTAL.STATUS.CHANGE","icd9","CELLULITIS.MENTAL.STATUS.CHANGE","CELLULITIS.MENTAL.STATUS.CHANGE"
"icd9_CELLULITIS.DIABETES","icd9","CELLULITIS.DIABETES","CELLULITIS.DIABETES"
"icd9_CELLULITIS.L.FOOT.ULCER","icd9","CELLULITIS.L.FOOT.ULCER","CELLULITIS.L.FOOT.ULCER"
"icd9_CERVICAL.MYOLOPATHY.SDA","icd9","CERVICAL.MYOLOPATHY.SDA","CERVICAL.MYOLOPATHY.SDA"
"icd9_CERVICAL.SPONDYLOSIS.SDA","icd9","CERVICAL.SPONDYLOSIS.SDA","CERVICAL.SPONDYLOSIS.SDA"
"icd9_CHEST.PAIN","icd9","CHEST.PAIN","CHEST.PAIN"
"icd9_CHEST.PAIN.R.O.MYOCARDIAL.INFARCTION","icd9","CHEST.PAIN.R.O.MYOCARDIAL.INFARCTION","CHEST.PAIN.R.O.MYOCARDIAL.INFARCTION"
"icd9_CHEST.PAIN.GALLSTONE.PANCREATITIS","icd9","CHEST.PAIN.GALLSTONE.PANCREATITIS","CHEST.PAIN.GALLSTONE.PANCREATITIS"
"icd9_CHEST.PAIN.HYPERTENSION","icd9","CHEST.PAIN.HYPERTENSION","CHEST.PAIN.HYPERTENSION"
"icd9_CHEST.PAIN..R.O.MI..COPD.FLARE","icd9","CHEST.PAIN..R.O.MI..COPD.FLARE","CHEST.PAIN..R.O.MI..COPD.FLARE"
"icd9_CHEST.PAIN.RULE.OUT.MYOCARDIAL.INFARCTION.TELEMETRY","icd9","CHEST.PAIN.RULE.OUT.MYOCARDIAL.INFARCTION.TELEMETRY","CHEST.PAIN.RULE.OUT.MYOCARDIAL.INFARCTION.TELEMETRY"
"icd9_CHEST.PAIN.TELEMETRY","icd9","CHEST.PAIN.TELEMETRY","CHEST.PAIN.TELEMETRY"
"icd9_CHEST.PAIN.CATH","icd9","CHEST.PAIN.CATH","CHEST.PAIN.CATH"
"icd9_CHEST.PAIN.CATH.1","icd9","CHEST.PAIN.CATH.1","CHEST.PAIN.CATH.1"
"icd9_CHF.EXACERBATION","icd9","CHF.EXACERBATION","CHF.EXACERBATION"
"icd9_CHF.EXACERBATION.R.O.MI","icd9","CHF.EXACERBATION.R.O.MI","CHF.EXACERBATION.R.O.MI"
"icd9_CHF..AORTIC.VALVE...MITRAL.VALVE.REPLACEMENT.SDA","icd9","CHF..AORTIC.VALVE...MITRAL.VALVE.REPLACEMENT.SDA","CHF..AORTIC.VALVE...MITRAL.VALVE.REPLACEMENT.SDA"
"icd9_CHF.AORTIC.VALVE.REPLACEMENT.SDA","icd9","CHF.AORTIC.VALVE.REPLACEMENT.SDA","CHF.AORTIC.VALVE.REPLACEMENT.SDA"
"icd9_CHOLEDOCHOLITHIASIS","icd9","CHOLEDOCHOLITHIASIS","CHOLEDOCHOLITHIASIS"
"icd9_CHOLYDOCHOLITHIASIS","icd9","CHOLYDOCHOLITHIASIS","CHOLYDOCHOLITHIASIS"
"icd9_CHRONIC.BILATERAL.PLEURAL.EFFUSION.SDA","icd9","CHRONIC.BILATERAL.PLEURAL.EFFUSION.SDA","CHRONIC.BILATERAL.PLEURAL.EFFUSION.SDA"
"icd9_CHRONIC.OBST.PULM.DISEASE","icd9","CHRONIC.OBST.PULM.DISEASE","CHRONIC.OBST.PULM.DISEASE"
"icd9_CHRONIC.OBST.PULM.DISEASE.ASTHMA.CONGESTIVE.HEART.FAILURE","icd9","CHRONIC.OBST.PULM.DISEASE.ASTHMA.CONGESTIVE.HEART.FAILURE","CHRONIC.OBST.PULM.DISEASE.ASTHMA.CONGESTIVE.HEART.FAILURE"
"icd9_CHRONIC.OBSTRUCTIVE.DISEASE.EXACERBATION","icd9","CHRONIC.OBSTRUCTIVE.DISEASE.EXACERBATION","CHRONIC.OBSTRUCTIVE.DISEASE.EXACERBATION"
"icd9_CHRONIC.RENAL.FAILURE","icd9","CHRONIC.RENAL.FAILURE","CHRONIC.RENAL.FAILURE"
"icd9_CIRRHOSIS","icd9","CIRRHOSIS","CIRRHOSIS"
"icd9_CIRRHOSIS.OF.LIVER","icd9","CIRRHOSIS.OF.LIVER","CIRRHOSIS.OF.LIVER"
"icd9_CIRRHOSIS.VOMITING","icd9","CIRRHOSIS.VOMITING","CIRRHOSIS.VOMITING"
"icd9_CLAUDICATION","icd9","CLAUDICATION","CLAUDICATION"
"icd9_CLAUDICATION.LEFT.LOWER.EXTREMITH.ANGIO","icd9","CLAUDICATION.LEFT.LOWER.EXTREMITH.ANGIO","CLAUDICATION.LEFT.LOWER.EXTREMITH.ANGIO"
"icd9_CLOTTED.AV.GRAFT","icd9","CLOTTED.AV.GRAFT","CLOTTED.AV.GRAFT"
"icd9_CLOTTED.DIALYSIS.ACCESS.OPEN.WOUND.RIGHT.ARM","icd9","CLOTTED.DIALYSIS.ACCESS.OPEN.WOUND.RIGHT.ARM","CLOTTED.DIALYSIS.ACCESS.OPEN.WOUND.RIGHT.ARM"
"icd9_CLOTTED.LEFT.AV.FISTULA..CRF","icd9","CLOTTED.LEFT.AV.FISTULA..CRF","CLOTTED.LEFT.AV.FISTULA..CRF"
"icd9_COLON.CA","icd9","COLON.CA","COLON.CA"
"icd9_COLON.CA.IDDM","icd9","COLON.CA.IDDM","COLON.CA.IDDM"
"icd9_COMPLETE.HEART.BLOCK","icd9","COMPLETE.HEART.BLOCK","COMPLETE.HEART.BLOCK"
"icd9_CONGESTIVE.HEART.FAILURE","icd9","CONGESTIVE.HEART.FAILURE","CONGESTIVE.HEART.FAILURE"
"icd9_CONGESTIVE.HEART.FAILURE.EXACERBATION","icd9","CONGESTIVE.HEART.FAILURE.EXACERBATION","CONGESTIVE.HEART.FAILURE.EXACERBATION"
"icd9_CONGESTIVE.HEART.FAILURE.CORONARY.ARTERY.DISEASE","icd9","CONGESTIVE.HEART.FAILURE.CORONARY.ARTERY.DISEASE","CONGESTIVE.HEART.FAILURE.CORONARY.ARTERY.DISEASE"
"icd9_CONGESTIVE.HEART.FAILURE.CORONARY.ARTERY.DISEASE.COMPLETE.HEART.CATHERIZATION","icd9","CONGESTIVE.HEART.FAILURE.CORONARY.ARTERY.DISEASE.COMPLETE.HEART.CATHERIZATION","CONGESTIVE.HEART.FAILURE.CORONARY.ARTERY.DISEASE.COMPLETE.HEART.CATHERIZATION"
"icd9_CONGESTIVE.HEART.FAILURE.DELTA.MS","icd9","CONGESTIVE.HEART.FAILURE.DELTA.MS","CONGESTIVE.HEART.FAILURE.DELTA.MS"
"icd9_CONGESTIVE.HEART.FAILURE.NON.ST.SEGMENT.ELEVATION.MYOCARDIAL.INFARCTION","icd9","CONGESTIVE.HEART.FAILURE.NON.ST.SEGMENT.ELEVATION.MYOCARDIAL.INFARCTION","CONGESTIVE.HEART.FAILURE.NON.ST.SEGMENT.ELEVATION.MYOCARDIAL.INFARCTION"
"icd9_CONGESTIVE.HEART.FAILURE.RESPIRATORY.DISTRESS","icd9","CONGESTIVE.HEART.FAILURE.RESPIRATORY.DISTRESS","CONGESTIVE.HEART.FAILURE.RESPIRATORY.DISTRESS"
"icd9_CONGESTIVE.HEART.FAILURE.RULE.OUT.MYOCARDIAL.INFARCTION","icd9","CONGESTIVE.HEART.FAILURE.RULE.OUT.MYOCARDIAL.INFARCTION","CONGESTIVE.HEART.FAILURE.RULE.OUT.MYOCARDIAL.INFARCTION"
"icd9_CONGESTIVE.HEART.FAILURE.VENTRICULAR.TACHYCARDIA","icd9","CONGESTIVE.HEART.FAILURE.VENTRICULAR.TACHYCARDIA","CONGESTIVE.HEART.FAILURE.VENTRICULAR.TACHYCARDIA"
"icd9_COPD.EXACERBATION","icd9","COPD.EXACERBATION","COPD.EXACERBATION"
"icd9_COPD.EXCERBATION","icd9","COPD.EXCERBATION","COPD.EXCERBATION"
"icd9_COPD.FLARE","icd9","COPD.FLARE","COPD.FLARE"
"icd9_COPD.PNEUMONIA.PULMONARY.EMBOLUS","icd9","COPD.PNEUMONIA.PULMONARY.EMBOLUS","COPD.PNEUMONIA.PULMONARY.EMBOLUS"
"icd9_CORD.COMPRESSION","icd9","CORD.COMPRESSION","CORD.COMPRESSION"
"icd9_CORNARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.WITH.AVR.","icd9","CORNARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.WITH.AVR.","CORNARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.WITH.AVR."
"icd9_CORONARY.ARTERY.DISEASE","icd9","CORONARY.ARTERY.DISEASE","CORONARY.ARTERY.DISEASE"
"icd9_CORONARY.ARTERY.DISEASE.ANGINA.ANGIOPLASTY","icd9","CORONARY.ARTERY.DISEASE.ANGINA.ANGIOPLASTY","CORONARY.ARTERY.DISEASE.ANGINA.ANGIOPLASTY"
"icd9_CORONARY.ARTERY.DISEASE.ANGINA.CATH","icd9","CORONARY.ARTERY.DISEASE.ANGINA.CATH","CORONARY.ARTERY.DISEASE.ANGINA.CATH"
"icd9_CORONARY.ARTERY.DISEASE.AORTIC.STENOSIS.MR.CORONARY.ARTERY.BYPASS.GRAFT.AORTIC.VALVE.REPLACEMENT.MITRAL.VALVE.REPLACEMENT.SDA","icd9","CORONARY.ARTERY.DISEASE.AORTIC.STENOSIS.MR.CORONARY.ARTERY.BYPASS.GRAFT.AORTIC.VALVE.REPLACEMENT.MITRAL.VALVE.REPLACEMENT.SDA","CORONARY.ARTERY.DISEASE.AORTIC.STENOSIS.MR.CORONARY.ARTERY.BYPASS.GRAFT.AORTIC.VALVE.REPLACEMENT.MITRAL.VALVE.REPLACEMENT.SDA"
"icd9_CORONARY.ARTERY.DISEASE.TELEMETRY","icd9","CORONARY.ARTERY.DISEASE.TELEMETRY","CORONARY.ARTERY.DISEASE.TELEMETRY"
"icd9_CORONARY.ARTERY.DISEASE..OFF.PUMP.CORONARY.ARTERY..BYPASS.SDA","icd9","CORONARY.ARTERY.DISEASE..OFF.PUMP.CORONARY.ARTERY..BYPASS.SDA","CORONARY.ARTERY.DISEASE..OFF.PUMP.CORONARY.ARTERY..BYPASS.SDA"
"icd9_CORONARY.ARTERY.DISEASE.CATH","icd9","CORONARY.ARTERY.DISEASE.CATH","CORONARY.ARTERY.DISEASE.CATH"
"icd9_CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..SDA","icd9","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..SDA","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..SDA"
"icd9_CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.WITH.MVR..SDA","icd9","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.WITH.MVR..SDA","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.WITH.MVR..SDA"
"icd9_CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.WITH.MVR.W.LEFT.VENTRICULAR.ASSISTED.DEVICE.BACK.UP.SDA","icd9","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.WITH.MVR.W.LEFT.VENTRICULAR.ASSISTED.DEVICE.BACK.UP.SDA","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.WITH.MVR.W.LEFT.VENTRICULAR.ASSISTED.DEVICE.BACK.UP.SDA"
"icd9_CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..W.AVR.SDA","icd9","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..W.AVR.SDA","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..W.AVR.SDA"
"icd9_CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..WITH.AVR.MITRAL.VALVE.REPLACEMENT.SDA","icd9","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..WITH.AVR.MITRAL.VALVE.REPLACEMENT.SDA","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..WITH.AVR.MITRAL.VALVE.REPLACEMENT.SDA"
"icd9_CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..WITH.LEFT.RADIAL.ARTERY.SDA","icd9","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..WITH.LEFT.RADIAL.ARTERY.SDA","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT..WITH.LEFT.RADIAL.ARTERY.SDA"
